Date,Price
30-Sep-22,"19,423.00"
29-Sep-22,"19,593.00"
28-Sep-22,"19,411.00"
27-Sep-22,"19,081.00"
26-Sep-22,"19,225.70"
25-Sep-22,"18,803.20"
24-Sep-22,"18,925.20"
23-Sep-22,"19,293.50"
22-Sep-22,"19,404.00"
21-Sep-22,"18,489.00"
20-Sep-22,"18,872.40"
19-Sep-22,"19,538.90"
18-Sep-22,"19,418.80"
17-Sep-22,"20,113.50"
16-Sep-22,"19,802.40"
15-Sep-22,"19,701.70"
14-Sep-22,"20,222.50"
13-Sep-22,"20,175.50"
12-Sep-22,"22,395.30"
11-Sep-22,"21,834.90"
10-Sep-22,"21,650.40"
09-Sep-22,"21,365.20"
08-Sep-22,"19,317.40"
07-Sep-22,"19,281.50"
06-Sep-22,"18,786.40"
05-Sep-22,"19,793.10"
04-Sep-22,"19,999.90"
03-Sep-22,"19,831.40"
02-Sep-22,"19,952.70"
01-Sep-22,"20,126.10"
31-Aug-22,"20,043.90"
30-Aug-22,"19,792.60"
29-Aug-22,"20,295.80"
28-Aug-22,"19,550.20"
27-Aug-22,"20,033.90"
26-Aug-22,"20,249.90"
25-Aug-22,"21,565.40"
24-Aug-22,"21,365.20"
23-Aug-22,"21,517.20"
22-Aug-22,"21,416.30"
21-Aug-22,"21,517.20"
20-Aug-22,"21,138.90"
19-Aug-22,"20,831.30"
18-Aug-22,"23,203.60"
17-Aug-22,"23,338.00"
16-Aug-22,"23,856.80"
15-Aug-22,"24,101.70"
14-Aug-22,"24,302.80"
13-Aug-22,"24,442.50"
12-Aug-22,"24,398.70"
11-Aug-22,"23,935.30"
10-Aug-22,"23,962.90"
09-Aug-22,"23,146.70"
08-Aug-22,"23,816.30"
07-Aug-22,"23,175.30"
06-Aug-22,"22,944.20"
05-Aug-22,"23,308.20"
04-Aug-22,"22,612.10"
03-Aug-22,"22,820.80"
02-Aug-22,"22,988.60"
